date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:06	124/124	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Jul%202023%2021:30:05%20GMT	https://jefesprofootball.com/robots.txt		(from )
15:30:07	238354/238354	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2021:30:05%20GMT	https://jefesprofootball.com/conoce-a-los-jefes/	C:/My%20Web%20Sites/contacto/jefesprofootball.com/conoce-a-los-jefes/index.html	(from )
15:30:07	1610/1610	---MCZ	200	added ('OK')	text/css	etag:W/%22641ae3c7-64a%22	https://jefesprofootball.com/wp-content/plugins/easy-image-collage/css/public.css?m=1679483847	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-content/plugins/easy-image-collage/css/public1b83.css	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:07	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://jefesprofootball.com/wp-includes/css/dashicons.min.css?ver=6.2.2	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-includes/css/dashicons.min3781.css	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:07	89815/89815	---MCZ	200	added ('OK')	application/javascript	etag:W/%226408d5ed-15ed7%22	https://jefesprofootball.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-includes/js/jquery/jquery.min5aed.js	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:07	8829/8829	---MCZ	200	added ('OK')	application/javascript	etag:W/%226489ad36-227d%22	https://jefesprofootball.com/wp-content/plugins/gutenberg/build/i18n/index.min.js?ver=5baa98e4345eccc97e24	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-content/plugins/gutenberg/build/i18n/index.mina8f5.js	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:08	303/303	---M--	200	added ('OK')	application/javascript	etag:%226391c7e3-12f%22	https://jefesprofootball.com/wp-content/plugins/blogmentor/assets/js/custom.js?m=1670498275	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-content/plugins/blogmentor/assets/js/custom6486.js	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:08	1389/1389	---M--	200	added ('OK')	image/png	etag:%22939c42ce165f054a%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255e43b.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:08	7429/7429	---M--	200	added ('OK')	image/png	etag:%22b1dd34abf516a910%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e166691902825598d8.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:08	6962/6962	---M--	200	added ('OK')	image/png	etag:%221c212799eb443cfb%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255f9b5.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:09	16462/16462	---M--	200	added ('OK')	image/png	etag:%229df5878a347d4a4a%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/JEFES_LFA_LOGO_1.png?fit=768%2C239&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/JEFES_LFA_LOGO_1cd1e.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:09	20613/20613	---M--	200	added ('OK')	image/png	etag:%222d885f5fd53c732e%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-19@3x.png?fit=768%2C547&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-19@3x7a20.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:10	220018/220018	---M--	200	added ('OK')	image/png	etag:%2280a6c30a06495394%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/MISON-1.png?fit=2048%2C618&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/MISON-13e23.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:11	159571/159571	---M--	200	added ('OK')	image/jpeg	etag:%22bfbb73b6da0f1a9a%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/04/278058256_121069063861808_2222341697866401481_n.jpg?fit=1200%2C720&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/04/278058256_121069063861808_2222341697866401481_n6567.jpg	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:11	90392/90392	---M--	200	added ('OK')	image/png	etag:%22621d09ae0341c5d3%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-26-1.png?fit=6923%2C403&ssl=1	C:/My%20Web%20Sites/contacto/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-26-1a75d.png	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:11	10069/10069	---MCZ	200	added ('OK')	text/css	etag:W/%22646dec6f-2755%22	https://jefesprofootball.com/wp-content/uploads/elementor/css/custom-widget-icon-box.min.css?ver=1684925551	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-content/uploads/elementor/css/custom-widget-icon-box.min5706.css	(from https://jefesprofootball.com/conoce-a-los-jefes/)
15:30:12	9889/9889	---MCZ	200	added ('OK')	text/css	etag:W/%22646ca629-26a1%22	https://jefesprofootball.com/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1684842025	C:/My%20Web%20Sites/contacto/jefesprofootball.com/wp-content/uploads/elementor/css/custom-widget-icon-list.minc8ae.css	(from https://jefesprofootball.com/conoce-a-los-jefes/)
